NAME,B19013_001E,state,place
"St. Paul city, Kansas",57083,20,62500
"Stark city, Kansas",24750,20,68025
"Bushton city, Kansas",45625,20,09700
"Jennings city, Kansas",50417,20,35375
"Gridley city, Kansas",35568,20,28850
"Douglass city, Kansas",59107,20,18400
"El Dorado city, Kansas",42661,20,20075
"Bucklin city, Kansas",60750,20,09000
"Garfield city, Kansas",39750,20,25750
"Garden City city, Kansas",50298,20,25325
"Almena city, Kansas",40417,20,01425
"Oxford city, Kansas",53929,20,53850
"Wellington city, Kansas",42350,20,76475
"Olpe city, Kansas",51912,20,52800
"Palco city, Kansas",30938,20,54125
"Ingalls city, Kansas",47500,20,34225
"Raymond city, Kansas",67708,20,58550
"Sublette city, Kansas",48850,20,68775
"Earlton city, Kansas",28750,20,19275
"Little River city, Kansas",43929,20,41575
"Medicine Lodge city, Kansas",47500,20,45500
"Lebo city, Kansas",47632,20,39125
"Waverly city, Kansas",45357,20,76050
"Blue Mound city, Kansas",28750,20,07600
"South Park View city, Kentucky",-666666666,21,72138
"Spring Mill city, Kentucky",78125,21,72770
"Strathmoor Village city, Kentucky",88125,21,74082
"Sycamore city, Kentucky",63000,21,75190
"Flatwoods city, Kentucky",49006,21,27802
"Russell city, Kentucky",59056,21,67458
"Evarts city, Kentucky",27813,21,25606
"Loyall city, Kentucky",25298,21,48288
"Lynch city, Kentucky",40500,21,48540
"McKee city, Kentucky",13306,21,49116
"Blue Ridge Manor city, Kentucky",67708,21,07858
"Cambridge city, Kentucky",61607,21,12066
"Bowling Green city, Kentucky",39901,21,08902
"Glencoe city, Kentucky",40000,21,31204
"Monticello city, Kentucky",31774,21,53130
"Versailles city, Kentucky",38800,21,79482
"Jackson city, Kentucky",27083,21,39952
"Crittenden city, Kentucky",44469,21,18568
"Hawesville city, Kentucky",44263,21,35200
"Sonora city, Kentucky",50729,21,71724
"Jeffersontown city, Kentucky",65556,21,40222
"Milton city, Kentucky",34297,21,52590
"Plum Springs city, Kentucky",46786,21,61860
"Wheelwright city, Kentucky",21406,21,82272
"Wingo city, Kentucky",35446,21,83856
"Greensburg city, Kentucky",26512,21,32968
"Benham city, Kentucky",40179,21,05662
"Audubon Park city, Kentucky",102222,21,02656
"Bancroft city, Kentucky",89286,21,03376
"Hodgenville city, Kentucky",32142,21,37396
"Upton city, Kentucky",32778,21,78672
"Bellemeade city, Kentucky",82885,21,05392
"Bellewood city, Kentucky",100938,21,05464
"Crossgate city, Kentucky",111250,21,18766
"Goose Creek city, Kentucky",86731,21,31870
"Norbourne Estates city, Kentucky",146250,21,56550
"Fincastle city, Kentucky",80833,21,27262
"Hurstbourne Acres city, Kentucky",60199,21,38818
"Parkway Village city, Kentucky",46750,21,59322
"St. Matthews city, Kentucky",57284,21,67944
"Strathmoor Manor city, Kentucky",127500,21,74064
"Watterson Park city, Kentucky",30950,21,80913
"Wellington city, Kentucky",80000,21,81372
"Blackey city, Kentucky",24028,21,07012
"Oakland city, Kentucky",45833,21,57144
"Sanders city, Kentucky",43750,21,68358
"Worthville city, Kentucky",30357,21,84900
"Liberty city, Kentucky",25605,21,46072
"Dry Ridge city, Kentucky",32350,21,22582
"Wurtland city, Kentucky",40125,21,85008
"Langdon Place city, Kentucky",90938,21,43900
"Lynnview city, Kentucky",46719,21,48648
"Shively city, Kentucky",38194,21,70284
"Somerset city, Kentucky",23518,21,71688
"Wildwood city, Kentucky",73500,21,83208
"Monterey city, Kentucky",-666666666,21,53076
"Burnside city, Kentucky",43000,21,11278
"Jamestown city, Kentucky",20625,21,40114
"Wickliffe city, Kentucky",35938,21,83064
"Pembroke city, Kentucky",45250,21,59934
"Fairfield city, Kentucky",48750,21,26020
"New Haven city, Kentucky",33250,21,55758
"Cave City city, Kentucky",30727,21,13492
"Grand Rivers city, Kentucky",59063,21,32212
"Sharpsburg city, Kentucky",24706,21,69852
"Centertown city, Kentucky",39643,21,13870
"Taylor Mill city, Kentucky",62154,21,75738
"Fordsville city, Kentucky",32750,21,28270
"Elsmere city, Kentucky",55054,21,24778
"Fort Wright city, Kentucky",70360,21,28612
"Kenton Vale city, Kentucky",35000,21,42094
"McHenry city, Kentucky",38571,21,49098
"Morganfield city, Kentucky",31698,21,53472
"Corbin city, Kentucky",31361,21,17362
"Lakeside Park city, Kentucky",86776,21,43606
"Ludlow city, Kentucky",50282,21,48378
"Ryland Heights city, Kentucky",50625,21,67602
"Hanson city, Kentucky",44107,21,34390
"White Plains city, Kentucky",45938,21,82722
"Cloverport city, Kentucky",27688,21,15904
"Woodbury city, Kentucky",15625,21,84432
"Sandy Hook city, Kentucky",18611,21,68556
"Henderson city, Kentucky",36274,21,35866
"Campton city, Kentucky",15393,21,12358
"Frenchburg city, Kentucky",35694,21,29260
"Shepherdsville city, Kentucky",49765,21,70086
"Fort Thomas city, Kentucky",71956,21,28594
"Brownsville city, Kentucky",29464,21,10324
"Fulton city, Kentucky",25789,21,29566
"Dawson Springs city, Kentucky",24121,21,20224
"Arlington city, Kentucky",25370,21,02044
"Mackville city, Kentucky",43056,21,49206
"Springfield city, Kentucky",37551,21,72660
"Willisburg city, Kentucky",46000,21,83424
"Williamsburg city, Kentucky",32318,21,83334
"Morgantown city, Kentucky",22794,21,53490
"Bromley city, Kentucky",40455,21,09856
"Independence city, Kentucky",75647,21,39142
"Blandville city, Kentucky",-666666666,21,07390
"Rochester city, Kentucky",48456,21,65982
"Albany city, Kentucky",20290,21,00694
"Corydon city, Kentucky",42273,21,17686
"Adairville city, Kentucky",36250,21,00298
"Auburn city, Kentucky",42045,21,02638
"Lewisburg city, Kentucky",35789,21,45064
"Russellville city, Kentucky",29143,21,67512
"Morehead city, Kentucky",39091,21,53418
"Park City city, Kentucky",43672,21,59232
"Junction City city, Kentucky",37258,21,41338
"Bogalusa city, Louisiana",24600,22,08150
"Ruston city, Louisiana",27411,22,66655
"Houma city, Louisiana",43178,22,36255
"Opelousas city, Louisiana",20005,22,58045
